Lake Name	Township	STN	Site ID	Site Description	Latitude (DMS)	Long (DMS)	Date	Secchi Depth (metres)
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	06/28/1991	9
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/12/1991	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/26/1991	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/03/1991	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/09/1991	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/23/1991	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	05/23/1994	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/03/1994	6.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/24/1994	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/06/1994	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/23/1995	6.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/07/1995	6
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/10/1995	5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	09/04/1995	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	06/09/1996	6.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	06/23/1996	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/01/1996	9.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/21/1996	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/18/1996	6
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	09/02/1996	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	06/15/1997	6.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	06/22/1997	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/01/1997	8
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/06/1997	8
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/20/1997	8.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/07/1997	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/18/1997	6.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	08/25/1997	5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	09/01/1997	6
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/05/1998	7
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/04/1999	9
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/03/2000	7.5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/16/2000	6
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/30/2000	5
HALLS LAKE	STANHOPE	1837	1	N end, deep spot	450600	784500	07/30/2000	5.5
