Depth	Zone	Year
0	Surface	Yes
1	Surface	Yes
2	Surface	Yes
3	Mid	Yes
4	Mid	Yes
5	Mid	Yes
6	Mid	Yes
7	Mid	Yes
8	Mid	Yes
9	Mid	Yes
10	Mid	Yes
11	Deep	Yes
12	Deep	Yes
13	Deep	Yes
14	Deep	Yes
15	Deep	Yes
16	Deep	Yes
17	Deep	Yes
18	Deep	Yes
19	Deep	Yes
20	Deep	Yes
21	Deep	Yes
22	Deep	Yes
23	Deep	Yes
24	Deep	Yes
25	Deep	Yes
26	Deep	Yes
27	Deep	Yes
28	Deep	Yes
29	Deep	Yes
30	Deep	Yes
31	Deep	Yes
32	Deep	Yes
33	Deep	Yes
34	Deep	Yes
35	Deep	Yes
36	Deep	Yes
37	Deep	Yes
38	Deep	Yes
39	Deep	Yes
40	Deep	Yes
41	Deep	Yes
42	Deep	Yes
43	Deep	Yes
44	Deep	Yes
45	Deep	Yes
46	Deep	Yes
47	Deep	Yes
48	Deep	Yes
49	Deep	Yes
50	Deep	Yes
