Depth	Date	Lake	Site_name	Statistic	Value
0.1	7/7/23	Halls	HALL-WQ-01	DO	7.21
1	7/7/23	Halls	HALL-WQ-01	DO	7.26
2	7/7/23	Halls	HALL-WQ-01	DO	7.27
3	7/7/23	Halls	HALL-WQ-01	DO	7.29
4	7/7/23	Halls	HALL-WQ-01	DO	7.39
5	7/7/23	Halls	HALL-WQ-01	DO	7.81
6	7/7/23	Halls	HALL-WQ-01	DO	8.82
7	7/7/23	Halls	HALL-WQ-01	DO	9.37
8	7/7/23	Halls	HALL-WQ-01	DO	9.68
9	7/7/23	Halls	HALL-WQ-01	DO	9.7
10	7/7/23	Halls	HALL-WQ-01	DO	9.7
11	7/7/23	Halls	HALL-WQ-01	DO	9.7
12	7/7/23	Halls	HALL-WQ-01	DO	9.68
13	7/7/23	Halls	HALL-WQ-01	DO	9.68
14	7/7/23	Halls	HALL-WQ-01	DO	9.6
15	7/7/23	Halls	HALL-WQ-01	DO	9.61
16	7/7/23	Halls	HALL-WQ-01	DO	9.62
17	7/7/23	Halls	HALL-WQ-01	DO	9.6
18	7/7/23	Halls	HALL-WQ-01	DO	9.58
19	7/7/23	Halls	HALL-WQ-01	DO	9.55
20	7/7/23	Halls	HALL-WQ-01	DO	9.54
21	7/7/23	Halls	HALL-WQ-01	DO	9.5
22	7/7/23	Halls	HALL-WQ-01	DO	9.49
23	7/7/23	Halls	HALL-WQ-01	DO	9.48
24	7/7/23	Halls	HALL-WQ-01	DO	9.48
25	7/7/23	Halls	HALL-WQ-01	DO	9.54
26	7/7/23	Halls	HALL-WQ-01	DO	9.55
27	7/7/23	Halls	HALL-WQ-01	DO	9.56
28	7/7/23	Halls	HALL-WQ-01	DO	9.56
29	7/7/23	Halls	HALL-WQ-01	DO	9.54
30	7/7/23	Halls	HALL-WQ-01	DO	9.54
31	7/7/23	Halls	HALL-WQ-01	DO	9.53
32	7/7/23	Halls	HALL-WQ-01	DO	9.47
33	7/7/23	Halls	HALL-WQ-01	DO	9.42
34	7/7/23	Halls	HALL-WQ-01	DO	9.41
35	7/7/23	Halls	HALL-WQ-01	DO	9.41
36	7/7/23	Halls	HALL-WQ-01	DO	9.41
37	7/7/23	Halls	HALL-WQ-01	DO	9.41
38	7/7/23	Halls	HALL-WQ-01	DO	9.4
39	7/7/23	Halls	HALL-WQ-01	DO	9.37
40	7/7/23	Halls	HALL-WQ-01	DO	9.34
41	7/7/23	Halls	HALL-WQ-01	DO	9.32
42	7/7/23	Halls	HALL-WQ-01	DO	9.31
43	7/7/23	Halls	HALL-WQ-01	DO	9.3
44	7/7/23	Halls	HALL-WQ-01	DO	9.28
45	7/7/23	Halls	HALL-WQ-01	DO	9.28
46	7/7/23	Halls	HALL-WQ-01	DO	9.29
47	7/7/23	Halls	HALL-WQ-01	DO	9.32
48	7/7/23	Halls	HALL-WQ-01	DO	9.35
49	7/7/23	Halls	HALL-WQ-01	DO	9.33
50	7/7/23	Halls	HALL-WQ-01	DO	NA
0.1	7/22/22	HallsLake	HALL-WQ-01	DO	9.06
1	7/22/22	HallsLake	HALL-WQ-01	DO	9.03
2	7/22/22	HallsLake	HALL-WQ-01	DO	9.09
3	7/22/22	HallsLake	HALL-WQ-01	DO	9.08
4	7/22/22	HallsLake	HALL-WQ-01	DO	9.08
5	7/22/22	HallsLake	HALL-WQ-01	DO	9.07
6	7/22/22	HallsLake	HALL-WQ-01	DO	9.09
7	7/22/22	HallsLake	HALL-WQ-01	DO	9.56
8	7/22/22	HallsLake	HALL-WQ-01	DO	9.77
9	7/22/22	HallsLake	HALL-WQ-01	DO	10.31
10	7/22/22	HallsLake	HALL-WQ-01	DO	11.59
