Year,Date,YMD,y,,,
1964,4/28,1964/4/28,2001,4,28,15:04:08
1965,5/11,1965/5/11,2001,5,11,2:11:21
1966,5/14,1966/5/14,2001,5,14,2:05:07
1967,5/2,1967/5/2,2001,5,2,1:42:35
1968,4/14,1968/4/14,2001,4,14,0:17:30
1969,4/30,1969/4/30,2001,4,30,23:38:20
1970,5/2,1970/5/2,2001,5,2,0:58:11
1971,5/7,1971/5/7,2001,5,7,0:45:30
1972,5/15,1972/5/15,2001,5,15,0:18:55
1973,4/22,1973/4/22,2001,4,22,23:52:40
1974,5/5,1974/5/5,2001,5,5,1:14:09
1975,5/9,1975/5/9,2001,5,9,2:42:19
1976,4/20,1976/4/20,2001,4,20,0:06:33
1977,4/20,1977/4/20,2001,4,20,0:06:33
1978,5/12,1978/5/12,2001,5,12,4:19:27
1979,4/27,1979/4/27,2001,4,27,23:11:39
1980,4/29,1980/4/29,2001,4,29,1:18:12
1981,4/11,1981/4/11,2001,4,11,21:18:39
1982,5/5,1982/5/5,2001,5,5,0:32:48
1983,5/3,1983/5/3,2001,5,3,0:17:03
1984,4/27,1984/4/27,2001,4,27,1:02:27
1985,5/1,1985/5/1,2001,5,1,1:20:56
1986,4/19,1986/4/19,2001,4,19,1:35:55
1987,4/17,1987/4/17,2001,4,17,22:13:34
1988,4/29,1988/4/29,2001,4,29,0:31:30
1989,5/3,1989/5/3,2001,5,3,0:07:52
1990,4/30,1990/4/30,2001,4,30,1:36:48
1991,4/24,1991/4/24,2001,4,24,6:50:56
1992,5/11,1992/5/11,2001,5,11,1:56:49
1993,4/30,1993/4/30,2001,4,30,23:40:38
1994,4/29,1994/4/29,2001,4,29,1:42:42
1995,4/20,1995/4/20,2001,4,20,0:05:01
1996,5/9,1996/5/9,2001,5,9,0:31:23
1997,5/6,1997/5/6,2001,5,6,0:31:30
1998,4/17,1998/4/17,2001,4,17,21:23:48
1999,4/23,1999/4/23,2001,4,23,0:16:24
2000,4/27,2000/4/27,2001,4,27,0:37:11
2001,4/25,2001/4/25,2001,4,25,1:08:08
2002,4/23,2002/4/23,2001,4,23,22:09:31
2003,4/29,2003/4/29,2001,4,29,1:50:21
2004,4/25,2004/4/25,2001,4,25,23:30:21
2005,5/1,2005/5/1,2001,5,1,23:46:13
2006,4/20,2006/4/20,2001,4,20,23:38:27
2007,4/22,2007/4/22,2001,4,22,1:12:50
2008,4/29,2008/4/29,2001,4,29,1:44:14
2009,4/25,2009/4/25,2001,4,25,1:32:38
2010,4/7,2010/4/7,2001,4,7,0:23:37
2011,4/29,2011/4/29,2001,4,29,0:03:56
2012,3/28,2012/3/28,2001,3,28,19:53:40
2013,4/29,2013/4/29,2001,4,29,22:12:22
2014,5/7,2014/5/7,2001,5,7,1:09:14
2015,5/1,2015/5/1,2001,5,1,2:31:22
2016,5/1,2016/5/1,2001,5,1,2:39:02
2017,4/24,2017/4/24,2001,4,24,20:29:26
2018,5/9,2018/5/9,2001,5,9,22:26:48
2019,5/10,2019/5/10,2001,5,10,0:36:58
2020,4/30,2020/4/30,2001,4,30,0:55:27
2021,4/9,2021/4/9,2001,4,9,21:49:37
2022,4/24,2022/4/24,2001,4,24,22:33:28
2023,4/23,2023/4/23,2001,4,23,0:20:14
2024,4/9,2024/4/9,2001,4,9,22:38:37
2025,4/26,2025/4/26,2001,4,26,23:49:43
