Year	Date	YMD
1964	4/28	1964/4/28
1965	5/11	1965/5/11
1966	5/14	1966/5/14
1967	5/2	1967/5/2
1968	4/14	1968/4/14
1969	4/30	1969/4/30
1970	5/2	1970/5/2
1971	5/7	1971/5/7
1972	5/15	1972/5/15
1973	4/22	1973/4/22
1974	5/5	1974/5/5
1975	5/9	1975/5/9
1976	4/20	1976/4/20
1977	4/20	1977/4/20
1978	5/12	1978/5/12
1979	4/27	1979/4/27
1980	4/29	1980/4/29
1981	4/11	1981/4/11
1982	5/5	1982/5/5
1983	5/3	1983/5/3
1984	4/27	1984/4/27
1985	5/1	1985/5/1
1986	4/19	1986/4/19
1987	4/17	1987/4/17
1988	4/29	1988/4/29
1989	5/3	1989/5/3
1990	4/30	1990/4/30
1991	4/24	1991/4/24
1992	5/11	1992/5/11
1993	4/30	1993/4/30
1994	4/29	1994/4/29
1995	4/20	1995/4/20
1996	5/9	1996/5/9
1997	5/6	1997/5/6
1998	4/17	1998/4/17
1999	4/23	1999/4/23
2000	4/27	2000/4/27
2001	4/25	2001/4/25
2002	4/23	2002/4/23
2003	4/29	2003/4/29
2004	4/25	2004/4/25
2005	5/1	2005/5/1
2006	4/20	2006/4/20
2007	4/22	2007/4/22
2008	4/29	2008/4/29
2009	4/25	2009/4/25
2010	4/7	2010/4/7
2011	4/29	2011/4/29
2012	3/28	2012/3/28
2013	4/29	2013/4/29
2014	5/7	2014/5/7
2015	5/1	2015/5/1
2016	5/1	2016/5/1
2017	4/24	2017/4/24
2018	5/9	2018/5/9
2019	5/10	2019/5/10
2020	4/30	2020/4/30
2021	4/9	2021/4/9
2022	4/24	2022/4/24
2023	4/23	2023/4/23
2024	4/9	2024/4/9
2025	4/26	2025/4/26
