Depth	Date	Lake	Site_name	Statistic	Value
0.1	7/22/22	Halls	HALL-WQ-01	DO	9.06
1	7/22/22	Halls	HALL-WQ-01	DO	9.03
2	7/22/22	Halls	HALL-WQ-01	DO	9.09
3	7/22/22	Halls	HALL-WQ-01	DO	9.08
4	7/22/22	Halls	HALL-WQ-01	DO	9.08
5	7/22/22	Halls	HALL-WQ-01	DO	9.07
6	7/22/22	Halls	HALL-WQ-01	DO	9.09
7	7/22/22	Halls	HALL-WQ-01	DO	9.56
8	7/22/22	Halls	HALL-WQ-01	DO	9.77
9	7/22/22	Halls	HALL-WQ-01	DO	10.31
10	7/22/22	Halls	HALL-WQ-01	DO	11.59
11	7/22/22	Halls	HALL-WQ-01	DO	11.85
12	7/22/22	Halls	HALL-WQ-01	DO	11.84
13	7/22/22	Halls	HALL-WQ-01	DO	11.5
14	7/22/22	Halls	HALL-WQ-01	DO	11.4
15	7/22/22	Halls	HALL-WQ-01	DO	11.33
16	7/22/22	Halls	HALL-WQ-01	DO	11.32
17	7/22/22	Halls	HALL-WQ-01	DO	11.21
18	7/22/22	Halls	HALL-WQ-01	DO	11.14
19	7/22/22	Halls	HALL-WQ-01	DO	11.17
20	7/22/22	Halls	HALL-WQ-01	DO	11.05
21	7/22/22	Halls	HALL-WQ-01	DO	10.96
22	7/22/22	Halls	HALL-WQ-01	DO	10.78
23	7/22/22	Halls	HALL-WQ-01	DO	10.85
24	7/22/22	Halls	HALL-WQ-01	DO	10.96
25	7/22/22	Halls	HALL-WQ-01	DO	10.99
26	7/22/22	Halls	HALL-WQ-01	DO	10.97
27	7/22/22	Halls	HALL-WQ-01	DO	10.98
28	7/22/22	Halls	HALL-WQ-01	DO	10.89
29	7/22/22	Halls	HALL-WQ-01	DO	10.89
30	7/22/22	Halls	HALL-WQ-01	DO	10.94
31	7/22/22	Halls	HALL-WQ-01	DO	10.98
32	7/22/22	Halls	HALL-WQ-01	DO	10.96
33	7/22/22	Halls	HALL-WQ-01	DO	10.96
34	7/22/22	Halls	HALL-WQ-01	DO	10.95
35	7/22/22	Halls	HALL-WQ-01	DO	10.92
36	7/22/22	Halls	HALL-WQ-01	DO	10.93
37	7/22/22	Halls	HALL-WQ-01	DO	10.89
38	7/22/22	Halls	HALL-WQ-01	DO	10.9
39	7/22/22	Halls	HALL-WQ-01	DO	10.83
40	7/22/22	Halls	HALL-WQ-01	DO	10.84
41	7/22/22	Halls	HALL-WQ-01	DO	10.77
42	7/22/22	Halls	HALL-WQ-01	DO	10.76
43	7/22/22	Halls	HALL-WQ-01	DO	10.72
44	7/22/22	Halls	HALL-WQ-01	DO	10.67
45	7/22/22	Halls	HALL-WQ-01	DO	10.68
46	7/22/22	Halls	HALL-WQ-01	DO	10.68
47	7/22/22	Halls	HALL-WQ-01	DO	10.57
48	7/22/22	Halls	HALL-WQ-01	DO	10.58
49	7/22/22	Halls	HALL-WQ-01	DO	10.5
50	7/22/22	Halls	HALL-WQ-01	DO	10.48
0.1	7/22/22	Halls	HALL-WQ-01	Temp	23.9
1	7/22/22	Halls	HALL-WQ-01	Temp	24
2	7/22/22	Halls	HALL-WQ-01	Temp	23.8
3	7/22/22	Halls	HALL-WQ-01	Temp	23.6
4	7/22/22	Halls	HALL-WQ-01	Temp	23.7
5	7/22/22	Halls	HALL-WQ-01	Temp	23.5
6	7/22/22	Halls	HALL-WQ-01	Temp	23.4
7	7/22/22	Halls	HALL-WQ-01	Temp	21.04
8	7/22/22	Halls	HALL-WQ-01	Temp	21.02
9	7/22/22	Halls	HALL-WQ-01	Temp	20
10	7/22/22	Halls	HALL-WQ-01	Temp	10
11	7/22/22	Halls	HALL-WQ-01	Temp	8.7
12	7/22/22	Halls	HALL-WQ-01	Temp	8.2
13	7/22/22	Halls	HALL-WQ-01	Temp	7.2
14	7/22/22	Halls	HALL-WQ-01	Temp	6.3
15	7/22/22	Halls	HALL-WQ-01	Temp	6
16	7/22/22	Halls	HALL-WQ-01	Temp	5.9
17	7/22/22	Halls	HALL-WQ-01	Temp	5.7
18	7/22/22	Halls	HALL-WQ-01	Temp	5.5
19	7/22/22	Halls	HALL-WQ-01	Temp	5.5
20	7/22/22	Halls	HALL-WQ-01	Temp	5.2
21	7/22/22	Halls	HALL-WQ-01	Temp	5
22	7/22/22	Halls	HALL-WQ-01	Temp	4.9
23	7/22/22	Halls	HALL-WQ-01	Temp	4.8
24	7/22/22	Halls	HALL-WQ-01	Temp	4.7
