Year	Lake	Order	Common_name	number	site_name
2022	Halls	Coelenterata	Hydras	0	HALL-17-R1
2022	Halls	Turbellaria	Flatworms	0	HALL-17-R1
2022	Halls	Nematoda	Roundworms	0	HALL-17-R1
2022	Halls	Oligochaeta	Aquatic_earthworms	0	HALL-17-R1
2022	Halls	Hirudinea	Leeches	0	HALL-17-R1
2022	Halls	Isopoda	Sow_bugs	0	HALL-17-R1
2022	Halls	Bivalvia	Clams_mussels	0	HALL-17-R1
2022	Halls	Amphipoda	Scuds	100	HALL-17-R1
2022	Halls	Decapoda	Crayfish	0	HALL-17-R1
2022	Halls	Hydrachnida	Mites	0	HALL-17-R1
2022	Halls	Ephemeroptera	Mayflies	0	HALL-17-R1
2022	Halls	Anisoptera	Dragonflies	0	HALL-17-R1
2022	Halls	Zygoptera	Damselflies	0	HALL-17-R1
2022	Halls	Plecoptera	Stoneflies	0	HALL-17-R1
2022	Halls	Hemiptera	True_bugs	0	HALL-17-R1
2022	Halls	Megaloptera	Fishflies_alderflies	0	HALL-17-R1
2022	Halls	Trichoptera	Caddisflies	0	HALL-17-R1
2022	Halls	Lepidoptera	Aquatic_moths	0	HALL-17-R1
2022	Halls	Coleoptera	Beetles	1	HALL-17-R1
2022	Halls	Gastropoda	Snails_limpets	1	HALL-17-R1
2022	Halls	Chironomidae	Midges	5	HALL-17-R1
2022	Halls	Tabanidae	Horse_deer_flies	0	HALL-17-R1
2022	Halls	Culicidae	Mosquitos	0	HALL-17-R1
2022	Halls	Ceratopogonidae	Noseeums	0	HALL-17-R1
2022	Halls	Tipulidae	Crane_flies	0	HALL-17-R1
2022	Halls	Simuliidae	Blackflies	0	HALL-17-R1
2022	Halls	Diptera_misc	Misc_true_flies	0	HALL-17-R1
2022	Hawk	Coelenterata	Hydras	0	BHWK-01-R1
2022	Hawk	Turbellaria	Flatworms	3	BHWK-01-R1
2022	Hawk	Nematoda	Roundworms	1	BHWK-01-R1
2022	Hawk	Oligochaeta	Aquatic_earthworms	3	BHWK-01-R1
2022	Hawk	Hirudinea	Leeches	0	BHWK-01-R1
2022	Hawk	Isopoda	Sow_bugs	22	BHWK-01-R1
2022	Hawk	Bivalvia	Clams_mussels	1	BHWK-01-R1
2022	Hawk	Amphipoda	Scuds	19	BHWK-01-R1
2022	Hawk	Decapoda	Crayfish	0	BHWK-01-R1
2022	Hawk	Hydrachnida	Mites	0	BHWK-01-R1
2022	Hawk	Ephemeroptera	Mayflies	3	BHWK-01-R1
2022	Hawk	Anisoptera	Dragonflies	12	BHWK-01-R1
2022	Hawk	Zygoptera	Damselflies	5	BHWK-01-R1
2022	Hawk	Plecoptera	Stoneflies	1	BHWK-01-R1
2022	Hawk	Hemiptera	True_bugs	0	BHWK-01-R1
2022	Hawk	Megaloptera	Fishflies_alderflies	5	BHWK-01-R1
2022	Hawk	Trichoptera	Caddisflies	0	BHWK-01-R1
2022	Hawk	Lepidoptera	Aquatic_moths	0	BHWK-01-R1
2022	Hawk	Coleoptera	Beetles	0	BHWK-01-R1
2022	Hawk	Gastropoda	Snails_limpets	13	BHWK-01-R1
2022	Hawk	Chironomidae	Midges	1	BHWK-01-R1
2022	Hawk	Tabanidae	Horse_deer_flies	1	BHWK-01-R1
2022	Hawk	Culicidae	Mosquitos	1	BHWK-01-R1
2022	Hawk	Ceratopogonidae	Noseeums	3	BHWK-01-R1
2022	Hawk	Tipulidae	Crane_flies	1	BHWK-01-R1
2022	Hawk	Simuliidae	Blackflies	0	BHWK-01-R1
2022	Hawk	Diptera_misc	Misc_true_flies	6	BHWK-01-R1
