Year	Lake	Biotic_index	HALL-01-R1	HALL-04-R1	HALL-05-R1	HALL-06-R1	HALL-06-R2	HALL-08-R1	HALL-08-R2	HALL-09-R1	HALL-09-R2	HALL-10-R1	HALL-10-R2	HALL-15-R1	HALL-15-R2	HALL-17-R1	HALL-17-R2	HALL-19-R1	HALL-19-R2	HALL-21-R1	HALL-21-R2	HALL-22-R1	HALL-22-R2
2019	Halls	mHBI	7.35	5.75	6.35	5.22	5.78	4.73	4.48	4.58	4.92	7.25	6.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019	Halls	Perc_EPT	0	78.57142857	1.666666667	27.18446602	15	6.930693069	4.716981132	10.37735849	20.51282051	4.901960784	10.57692308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019	Halls	Perc_EOT	5	82.14285714	1.666666667	30	22	7	7	17	21	7	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019	Halls	Simpsons_Index	0.8	0.4	0.7	0.8	0.8	0.4	0.4	0.6	0.7	0.6	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020	Halls	mHBI	NA	NA	NA	NA	6.4	6.97	5.86	4.58	4.18	6.3	6.64	5.85	5.25	4.96	6.09	5.28	5.14	NA	NA	NA	NA
2020	Halls	Perc_EPT	NA	NA	NA	NA	4	1	1	17	3	14	3	2	5	2	7	7	8	NA	NA	NA	NA
2020	Halls	Perc_EOT	NA	NA	NA	5	5	2	1	20	4	14	3	2	10	2	9	9	11	NA	NA	NA	NA
2020	Halls	Simpsons_Index	NA	NA	NA	NA	0.62	0.63	0.61	0.55	0.32	0.8	0.75	0.58	0.82	0.55	0.65	0.64	0.71	NA	NA	NA	NA
2022	Halls	Simpsons_Index	NA	NA	NA	0.59	NA	0.54	NA	0.75	NA	0.67	NA	NA	NA	0.18	NA	0.68	NA	NA	NA	NA	NA
2022	Halls	mHBI	NA	NA	NA	6.06	NA	5.4	NA	5.15	NA	6.65	NA	NA	NA	4.17	NA	5.05	NA	NA	NA	NA	NA
2022	Halls	Perc_EOT	NA	NA	NA	1.47	NA	6.64	NA	21.09	NA	17	NA	NA	NA	1.94	NA	10.95	NA	NA	NA	NA	NA
2022	Halls	Perc_EPT	NA	NA	NA	0	1.960784314	0	9.482758621	22.13114754	19.23076923	18.18181818	15	NA	NA	0	1.941747573	14.85148515	4.04040404	NA	NA	NA	NA
2023	Halls	mHBI	NA	NA	NA	4.57	5.89	4.73	4.6	4.61	NA	5.95	6.18	NA	NA	4.99	4.75	NA	NA	NA	NA	NA	NA
2023	Halls	Simpsons_Index	NA	NA	NA	0.51	0.62	0.49	0.59	0.4	NA	0.71	0.75	NA	NA	0.62	0.58	NA	NA	NA	NA	NA	NA
2023	Halls	Perc_EOT	NA	NA	NA	20	9	3	12	6	NA	6	9	NA	NA	18	20	NA	NA	NA	NA	NA	NA
2021	Halls	mHBI	NA	NA	NA	NA	NA	5.07	5.07	5.08	5.08	NA	NA	NA	NA	5.91	5.91	5.03	5.14	4.8	4.89	5.87	5.66
2021	Halls	Simpsons_Index	NA	NA	NA	NA	NA	0.62	0.62	0.68	0.68	NA	NA	NA	NA	0.79	0.79	0.47	0.53	0.68	0.57	0.69	0.75
2021	Halls	Perc_EPT	NA	NA	NA	NA	NA	9	9	5	5	NA	NA	NA	NA	12	12	4	7	11	8	7	8
2021	Halls	Perc_EOT	NA	NA	NA	NA	NA	9	9	5	5	NA	NA	NA	NA	5	5	4	7	7	5	10	16
