Year	Lake	Order	Common_name	HALL-01	HALL-04	HALL-05	HALL-06-R1	HALL-06-R2	HALL-08-R1	HALL-08-R2	HALL-09-R1	HALL-09-R2	HALL-10-R1	HALL-10-R2	HALL-15-R1	HALL-15-R2	HALL-17-R1	HALL-17-R2	HALL-19-R1	HALL-19-R2
2019	Halls	Coelenterata	Hydras	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Turbellaria	Flatworms	0	0	15	1	2	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Nematoda	Roundworms	2	0	0	4	1	0	0	0	0	4	9	NA	NA	NA	NA	NA	NA
2019	Halls	Oligochaeta	Aquatic_earthworms	10	3	10	3	7	2	1	2	5	66	45	NA	NA	NA	NA	NA	NA
2019	Halls	Hirudinea	Leeches	1	0	0	0	0	1	1	3	6	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Isopoda	Sow_bugs	0	0	0	14	0	12	9	0	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Bivalvia	Clams_mussels	1	0	0	0	6	0	0	0	1	2	1	NA	NA	NA	NA	NA	NA
2019	Halls	Amphipoda	Scuds	0	0	1	40	26	74	85	66	64	1	3	NA	NA	NA	NA	NA	NA
2019	Halls	Decapoda	Crayfish	1	0	1	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA
2019	Halls	Hydrachnida	Mites	1	0	5	0	5	1	0	2	1	4	13	NA	NA	NA	NA	NA	NA
2019	Halls	Ephemeroptera	Mayflies	0	22	0	28	12	6	1	5	19	1	2	NA	NA	NA	NA	NA	NA
2019	Halls	Anisoptera	Dragonflies	1	0	0	0	3	0	2	6	1	2	4	NA	NA	NA	NA	NA	NA
2019	Halls	Zygoptera	Damselflies	0	1	0	3	4	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Plecoptera	Stoneflies	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Hemiptera	True_bugs	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Megaloptera	Fishflies_alderflies	0	0	0	2	1	0	1	4	1	2	2	NA	NA	NA	NA	NA	NA
2019	Halls	Trichoptera	Caddisflies	0	0	1	0	3	1	4	5	5	4	9	NA	NA	NA	NA	NA	NA
2019	Halls	Lepidoptera	Aquatic_moths	1	0	0	0	0	1	0	0	0	0	3	NA	NA	NA	NA	NA	NA
2019	Halls	Coleoptera	Beetles	0	0	0	0	0	2	1	1	0	0	3	NA	NA	NA	NA	NA	NA
2019	Halls	Gastropoda	Snails_limpets	2	2	27	1	27	0	0	1	0	12	4	NA	NA	NA	NA	NA	NA
2019	Halls	Chironomidae	Midges	0	0	0	5	2	1	1	7	13	4	5	NA	NA	NA	NA	NA	NA
2019	Halls	Tabanidae	Horse_deer_flies	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Culicidae	Mosquitos	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Ceratopogonidae	Noseeums	0	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Tipulidae	Crane_flies	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Simuliidae	Blackflies	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2019	Halls	Diptera_misc	Misc_true_flies	0	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
2022	Halls	Coelenterata	Hydras	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Turbellaria	Flatworms	NA	NA	NA	1	1	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Nematoda	Roundworms	NA	NA	NA	0	0	0	0	0	0	3	0	NA	NA	0	0	0	0
2022	Halls	Oligochaeta	Aquatic_earthworms	NA	NA	NA	0	0	0	0	2	6	2	0	NA	NA	0	0	1	0
2022	Halls	Hirudinea	Leeches	NA	NA	NA	1	1	0	0	1	1	0	0	NA	NA	0	0	1	0
2022	Halls	Isopoda	Sow_bugs	NA	NA	NA	42	50	41	29	0	0	30	55	NA	NA	0	0	9	12
2022	Halls	Bivalvia	Clams_mussels	NA	NA	NA	0	3	2	0	1	12	2	0	NA	NA	0	0	0	1
2022	Halls	Amphipoda	Scuds	NA	NA	NA	51	41	56	73	63	29	9	13	NA	NA	100	91	62	40
2022	Halls	Decapoda	Crayfish	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Hydrachnida	Mites	NA	NA	NA	0	0	0	0	0	1	0	0	NA	NA	0	1	7	10
2022	Halls	Ephemeroptera	Mayflies	NA	NA	NA	0	0	0	1	9	2	11	10	NA	NA	0	1	0	0
2022	Halls	Anisoptera	Dragonflies	NA	NA	NA	0	1	2	1	0	0	1	1	NA	NA	0	0	1	0
2022	Halls	Zygoptera	Damselflies	NA	NA	NA	0	0	1	0	1	0	1	1	NA	NA	0	2	0	2
2022	Halls	Plecoptera	Stoneflies	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Hemiptera	True_bugs	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	0	1	0	0
2022	Halls	Megaloptera	Fishflies_alderflies	NA	NA	NA	0	1	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Trichoptera	Caddisflies	NA	NA	NA	0	2	0	10	18	18	3	5	NA	NA	0	1	15	4
2022	Halls	Lepidoptera	Aquatic_moths	NA	NA	NA	1	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Coleoptera	Beetles	NA	NA	NA	0	0	0	1	0	0	4	2	NA	NA	1	0	1	0
2022	Halls	Gastropoda	Snails_limpets	NA	NA	NA	4	1	0	0	4	12	1	5	NA	NA	1	0	1	0
2022	Halls	Chironomidae	Midges	NA	NA	NA	0	0	0	0	21	23	6	3	NA	NA	5	6	2	8
2022	Halls	Tabanidae	Horse_deer_flies	NA	NA	NA	0	0	0	0	0	0	1	0	NA	NA	0	0	0	0
2022	Halls	Culicidae	Mosquitos	NA	NA	NA	0	1	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Ceratopogonidae	Noseeums	NA	NA	NA	0	0	0	0	2	0	3	5	NA	NA	0	0	0	20
2022	Halls	Tipulidae	Crane_flies	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Simuliidae	Blackflies	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2022	Halls	Diptera_misc	Misc_true_flies	NA	NA	NA	2	0	0	1	0	0	0	0	NA	NA	0	0	1	2
2023	Halls	Coelenterata	Hydras	NA	NA	NA	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2023	Halls	Turbellaria	Flatworms	NA	NA	NA	1	0	0	0	0	0	0	0	NA	NA	0	0	0	0
2023	Halls	Nematoda	Roundworms	NA	NA	NA	0	0	2	3	0	2	4	6	NA	NA	0	0	0	0
2023	Halls	Oligochaeta	Aquatic_earthworms	NA	NA	NA	2	1	2	0	1	0	8	11	NA	NA	1	0	3	0
2023	Halls	Hirudinea	Leeches	NA	NA	NA	0	2	1	0	2	4	0	0	NA	NA	2	0	0	0
2023	Halls	Isopoda	Sow_bugs	NA	NA	NA	0	39	9	10	0	0	40	34	NA	NA	11	11	10	2
2023	Halls	Bivalvia	Clams_mussels	NA	NA	NA	0	1	0	0	0	0	1	0	NA	NA	1	0	1	0
2023	Halls	Amphipoda	Scuds	NA	NA	NA	60	52	84	80	50	23	42	25	NA	NA	52	56	3	6
2023	Halls	Decapoda	Crayfish	NA	NA	NA	0	0	1	0	0	0	0	0	NA	NA	0	0	0	0
2023	Halls	Hydrachnida	Mites	NA	NA	NA	1	1	1	0	0	1	0	0	NA	NA	0	0	0	0
2023	Halls	Ephemeroptera	Mayflies	NA	NA	NA	0	3	0	0	0	0	2	0	NA	NA	2	3	1	0
2023	Halls	Anisoptera	Dragonflies	NA	NA	NA	5	1	1	0	0	0	0	0	NA	NA	10	11	0	0
2023	Halls	Zygoptera	Damselflies	NA	NA	NA	7	6	1	0	1	0	0	0	NA	NA	0	0	0	0
2023	Halls	Plecoptera	Stoneflies	NA	NA	NA	0	0	1	0	0	0	0	0	NA	NA	0	0	0	0
2023	Halls	Hemiptera	True_bugs	NA	NA	NA	0	0	0	0	0	0	3	3	NA	NA	1	0	0	0
2023	Halls	Megaloptera	Fishflies_alderflies	NA	NA	NA	0	0	1	0	0	0	0	0	NA	NA	0	0	0	0
