Year	Lake	Parameter	HALL-01	HALL-04	HALL-05	HALL-06-R1	HALL-06-R2	HALL-08-R1	HALL-08-R2	HALL-09-R1	HALL-09-R2	HALL-10-R1	HALL-10-R2	HALL-15-R1	HALL-15-R2	HALL-17-R1	HALL-17-R2	HALL-19-R1	HALL-19-R2
2019	Halls	Water_temp	12.1	11.6	12.5	11.9	11.9	12	12	10.2	10.2	12.3	12.3	NA	NA	NA	NA	NA	NA
2019	Halls	Diss_O2	9.73	9.47	9.26	9.58	9.58	9.2	9.2	9.48	9.48	9.2	9.2	NA	NA	NA	NA	NA	NA
2019	Halls	pH	7.38	7.11	7.79	7.94	7.94	7.59	7.59	7.16	7.16	8.24	8.24	NA	NA	NA	NA	NA	NA
2020	Halls	Water_temp	NA	NA	NA	14.2	14.2	14.6	14.6	15.9	15.9	16.1	16.1	15.9	15.9	15.7	15.7	15.2	12.5
2020	Halls	Diss_O2	NA	NA	NA	8.4	8.4	9.03	9.03	9.98	9.98	9.22	9.22	9.24	9.24	8.8	8.8	10.07	10.07
2020	Halls	Conductivity	NA	NA	NA	23.2	23.2	21.4	21.4	23.3	23.3	23.4	23.4	23.3	23.3	23.3	23.3	29.7	29.7
2020	Halls	pH	NA	NA	NA	7.05	7.05	7.18	7.18	7.32	7.32	7.3	7.3	7.27	7.27	7.36	7.36	7.26	7.26
2023	Halls	Water_temp	NA	NA	NA	21.4	21.4	21	21	22.6	22.6	20.1	20.1	NA	NA	19.8	19.8	20.5	20.5
2023	Halls	Diss_O2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2023	Halls	Conductivity	NA	NA	NA	18.9	18.9	19.3	19.3	21.2	21.2	19.5	19.5	NA	NA	19.1	19.1	19.8	19.8
2023	Halls	pH	NA	NA	NA	7.26	7.26	7.43	7.43	7.21	7.21	7.75	7.5	NA	NA	7.62	7.62	7.77	7.77
