Year	Lake	Biotic_index	LHWK-01-R1	LHWK-01-R2	LHWK-02-R1	LHWK-02-R2	LHWK-03-R1	LHWK-03-R2	LHWK-04-R1	LHWK-04-R2	BHWK-01-R1	BHWK-01-R2	BHWK-03-R1	BHWK-03-R2	BHWK-04-R1	BHWK-04-R2	BHWK-05-R1	BHWK-05-R2
2020	Hawk	Simpsons_Index	0.68	0.5	0.73	0.59	0.69	0.64	0.65	0.59	NA	NA	0.6	0.49	0.69	0.71	0.73	0.59
2020	Hawk	Perc_EPT	14.02	8.47	30.19	6.6	13.86	8.74	11.54	7.48	NA	NA	15.84	9.82	47	47.52	0	1.94
2020	Hawk	mHBI	6.299	6.127	6.32	7.18	6.76	6.98	7.17	7.28	NA	NA	6.01	6.13	5.76	6.24	7.31	7.43
2020	Hawk	Perc_EOT	14.01869159	11.86440678	31.13207547	9.433962264	14.85148515	9.708737864	16.34615385	13.08411215	NA	NA	16.83168317	9.821428571	47	49.5049505	0	3.883495146
2023	Hawk	Perc_EOT	11.18	11.18	9.03	9.03	3.82	3.82	2.36	2.36	15	8	1	4	NA	NA	9	7
2023	Hawk	mHBI	6.12	6.12	5.94	5.94	6.49	6.49	5.77	5.77	5.23	5.05	5.77	6.67	NA	NA	5.74	7.52
2023	Hawk	Simpsons_Index	0.78	0.78	0.65	0.65	0.6	0.6	0.56	0.56	0.71	0.53	0.59	0.49	NA	NA	0.77	0.43
2021	Hawk	mHBI	4.42	4.98	6.39	5.16	6.12	5.75	7.69	7.69	6.35	7.38	5.15	NA	4.39	4.15	7.18	7.58
2021	Hawk	Simpsons_Index	0.54	0.52	0.65	0.66	0.57	0.61	0.31	0.31	0.71	0.43	0.62	NA	0.38	0.18	0.57	0.37
2021	Hawk	Perc_EPT	15	1	6	6	3	8	1	1	4	5	3	NA	7	4	3	1
2021	Hawk	Perc_EOT	20	2	11	14	4	10	4	4	4	6	9	NA	7	4	13	11
2022	Hawk	mHBI	4.93	6.38	5.02	5.12	7.31	7.11	7.03	6.97	6	6.02	7.38	7.21	4.58	4.58	4.64	4.64
2022	Hawk	Simpsons_Index	0.75	0.67	0.79	0.81	0.48	0.45	0.43	0.48	0.88	0.81	0.43	0.38	0.7	0.7	0.38	0.38
2022	Hawk	Perc_EPT	2	5	15	7	0	10	14	12	4	9	3	4	10	10	0	0
2022	Hawk	Perc_EOT	2	9	35	28	1	2	14	14	20	50	5	5	27	27	7	7
2024	Hawk	Perc_EOT	8.3	2.6	4	7.8	15	6.4	6.9	3	7.9	0	1.9	7	58.5	48	1	NA
2024	Hawk	mHBI	4.9	4.52	6.57	6.31	6.56	7.31	5.65	5.78	6	5.35	6.28	6.09	5.74	5.68	6.52	NA
2024	Hawk	Simpsons_Index	0.55	0.59	0.56	0.7	0.58	0.48	0.64	0.72	0.77	0.64	0.54	0.62	0.69	0.81	0.6	NA
