Year	Lake	Order	Common_name	LHWK-01-R1	LHWK-01-R2	LHWK-02-R1	LHWK-02-R2	LHWK-03-R1	LHWK-03-R2	LHWK-04-R1	LHWK-04-R2	BHWK-01-R1	BHWK-01-R2	BHWK-03-R1	BHWK-03-R2	BHWK-04-R1	BHWK-04-R2	BHWK-05-R1	BHWK-05-R2
2020	Hawk	Coelenterata	Hydras	0	0	0	0	0	0	0	0	NA	NA	1	0	0	0	0	0
2020	Hawk	Turbellaria	Flatworms	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0
2020	Hawk	Nematoda	Roundworms	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0
2020	Hawk	Oligochaeta	Aquatic_earthworms	0	0	0	0	0	0	0	0	NA	NA	6	4	1	2	2	3
2020	Hawk	Hirudinea	Leeches	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	1
2020	Hawk	Isopoda	Sow_bugs	10	5	32	62	46	56	57	65	NA	NA	4	3	0	25	17	65
2020	Hawk	Bivalvia	Clams_mussels	3	0	0	0	0	1	0	0	NA	NA	0	0	0	1	4	3
2020	Hawk	Amphipoda	Scuds	55	81	33	26	28	25	9	9	NA	NA	62	78	25	0	5	8
2020	Hawk	Decapoda	Crayfish	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0
2020	Hawk	Hydrachnida	Mites	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0
2020	Hawk	Ephemeroptera	Mayflies	13	9	31	6	2	1	10	7	NA	NA	12	7	45	45	0	0
2020	Hawk	Anisoptera	Dragonflies	0	3	1	1	1	1	2	4	NA	NA	1	0	0	1	0	2
2020	Hawk	Zygoptera	Damselflies	0	1	0	2	0	0	3	2	NA	NA	0	0	0	1	0	0
2020	Hawk	Plecoptera	Stoneflies	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0
2020	Hawk	Hemiptera	True_bugs	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0
2020	Hawk	Megaloptera	Fishflies_alderflies	0	0	1	0	0	1	0	0	NA	NA	1	0	0	0	1	2
2020	Hawk	Trichoptera	Caddisflies	2	1	1	1	12	8	2	1	NA	NA	4	4	2	3	0	2
2020	Hawk	Lepidoptera	Aquatic_moths	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0
2020	Hawk	Coleoptera	Beetles	0	0	0	0	0	1	0	0	NA	NA	0	0	0	1	0	0
2020	Hawk	Gastropoda	Snails_limpets	3	0	0	0	0	0	0	0	NA	NA	0	0	1	3	1	4
2020	Hawk	Chironomidae	Midges	20	18	6	8	12	9	21	18	NA	NA	10	16	22	18	1	7
