Year	Lake	Parameter	LHWK-01-R1	LHWK-01-R2	LHWK-02-R1	LHWK-02-R2	LHWK-03-R1	LHWK-03-R2	LHWK-04-R1	LHWK-04-R2	BHWK-01-R1	BHWK-01-R2	BHWK-03-R1	BHWK-03-R2	BHWK-04-R1	BHWK-04-R2	BHWK-05-R1	BHWK-05-R2
2020	Hawk	pH	7.6	7.6	8.01	8.01	9.35	9.35	7.55	7.55	NA	NA	8.13	8.13	7.3	7.3	7.6	7.6
2020	Hawk	Diss_O2	8.3	8.3	8.8	8.8	8.91	8.91	8.8	8.8	NA	NA	9.65	9.65	7.45	7.45	8.65	8.65
2020	Hawk	Water_temp	19.1	19.1	17	17	16.5	16.5	18.1	18.1	NA	NA	17.2	17.2	18.1	18.1	18	18
2020	Hawk	Conductivity	16.5	16.5	16.5	16.5	17	17	16.3	16.3	NA	NA	19.9	19.9	59.2	59.2	18.4	18.4
2021	Hawk	Water_temp	NA	NA	19.2	19.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021	Hawk	Diss_O2	NA	NA	8.41	8.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021	Hawk	Conductivity	NA	NA	132	132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021	Hawk	pH	NA	NA	7.92	7.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2023	Hawk	Water_temp	20.3	20.3	19.5	19.5	19.5	19.5	21.2	21.2	19.9	19.9	NA	NA	18.7	18.7	19.4	19.5
2023	Hawk	Diss_O2	8.03	8.03	7.68	7.68	7.7	7.7	7.54	7.54	7.47	7.47	NA	NA	8.48	8.48	8.62	8.73
2023	Hawk	Conductivity	NA	NA	NA	NA	13.4	13.4	13.1	13.1	12.6	12.6	NA	NA	24.3	24.3	18.5	18.5
2023	Hawk	pH	7.01	7.01	7.9	7.9	7.73	7.73	7.3	7.3	6.81	6.81	NA	NA	6.95	6.95	7.23	7.2
2024	Hawk	Water_temp	20.1	20.1	21	21	21.2	21.2	22.3	22.3	21.5	21.5	22	22	20.9	20.9	21.4	21.4
2024	Hawk	Diss_O2	8.3	8.3	9.6	9.6	7.89	7.89	7.88	7.88	7.75	7.75	8.82	8.82	8.12	8.12	7.4	7.4
2024	Hawk	Conductivity	18	18	17.5	17.5	18.5	18.5	18.3	18.3	19.6	19.6	21.7	21.7	28.1	28.1	20.9	20.9
2024	Hawk	pH	7.51	7.51	7.05	7.05	7.9	7.9	7.44	7.44	6.9	6.9	6.95	6.95	6.82	6.82	7.19	7.19
2022	Hawk	Water_temp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022	Hawk	Diss_O2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022	Hawk	Conductivity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022	Hawk	pH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
