Year	Month	Day	Date	YMD
1968	4	9	Apr-09	1968-4-9
1969	4	23	Apr-23	1969-4-23
1970	5	1	May-01	1970-5-1
1971	5	2	May-02	1971-5-2
1972	5	7	May-07	1972-5-7
1973	4	21	Apr-21	1973-4-21
1974	4	28	Apr-28	1974-4-28
1975	5	4	May-04	1975-5-4
1976	4	18	Apr-18	1976-4-18
1977	4	17	Apr-17	1977-4-17
1978	5	8	May-08	1978-5-8
1979	4	24	Apr-24	1979-4-24
1980	4	23	Apr-23	1980-4-23
1981	4	7	Apr-07	1981-4-7
1982	4	30	Apr-30	1982-4-30
1983	4	27	Apr-27	1983-4-27
1984	4	25	Apr-25	1984-4-25
1985	4	27	Apr-27	1985-4-27
1986	4	17	Apr-17	1986-4-17
1987	4	22	Apr-22	1987-4-22
1988	4	18	Apr-18	1988-4-18
1989	5	1	May-01	1989-5-1
1990	4	29	Apr-29	1990-4-29
1991	4	26	Apr-26	1991-4-26
1992	5	8	May-08	1992-5-8
1993	4	24	Apr-24	1993-4-24
1994	4	27	Apr-27	1994-4-27
1995	4	18	Apr-18	1995-4-18
1996	5	5	May-05	1996-5-5
1997	5	6	May-06	1997-5-6
1998	4	16	Apr-16	1998-4-16
1999	4	20	Apr-20	1999-4-20
2000	4	22	Apr-22	2000-4-22
2001	4	24	Apr-24	2001-4-24
2002	4	19	Apr-19	2002-4-19
2003	4	23	Apr-23	2003-4-23
2004	4	21	Apr-21	2004-4-21
2005	4	27	Apr-27	2005-4-27
2006	4	19	Apr-19	2006-4-19
2007	4	22	Apr-22	2007-4-22
2008	4	23	Apr-23	2008-4-23
2009	4	24	Apr-24	2009-4-24
2010	4	3	Apr-03	2010-4-3
2011	4	29	Apr-29	2011-4-29
2012	3	26	Mar-26	2012-3-26
2013	4	28	Apr-28	2013-4-28
2014	5	1	May-01	2014-5-1
2015	4	28	Apr-28	2015-4-28
2016	4	24	Apr-24	2016-4-24
2017	4	20	Apr-20	2017-4-20
2018	5	8	May-08	2018-5-8
2019	5	7	May-07	2019-5-7
2020	4	26	26-Apr	2020-4-26
2021	4	11	11-Apr	2021-4-11
2022	4	23	23-Apr	2022-4-23
2023	4	20	20-Apr	2023-4-20
2024	4	9	9-Apr	2024-4-9
