Year	Lake	Statistic	Date	Level
2024	Hawk	Minimum	11/19/24	1.96
2024	Hawk	Maximum	6/27/24	4.41
2024	Halls	Minimum	11/27/24	1.54
2024	Halls	Maximum	6/24/24	2.61
2013	Hawk	Minimum	1/12/13	2.167104427
2013	Hawk	Maximum	4/26/13	4.852530301
2013	Halls	Minimum	9/5/13	1.683121535
2013	Halls	Maximum	4/26/13	3.017608521
2014	Halls	Minimum	3/18/14	1.617855081
2014	Halls	Maximum	7/1/14	2.653253087
2014	Hawk	Minimum	4/1/14	1.989172967
2014	Hawk	Maximum	7/15/14	4.457944306
2015	Halls	Minimum	3/8/15	1.617917146
2015	Halls	Maximum	6/16/15	2.600723418
2015	Hawk	Minimum	3/10/15	1.943385679
2015	Hawk	Maximum	6/26/15	4.466934036
2016	Halls	Minimum	11/28/16	1.573429251
2016	Halls	Maximum	5/13/16	2.651519139
2016	Hawk	Minimum	11/30/16	1.900066851
2016	Hawk	Maximum	4/5/16	4.624170009
2017	Halls	Minimum	10/28/17	1.731941839
2017	Halls	Maximum	5/8/17	2.859527359
2017	Hawk	Minimum	10/30/17	2.066796033
2017	Hawk	Maximum	5/3/17	4.75468894
2018	Halls	Minimum	11/4/18	1.655123317
2018	Halls	Maximum	6/1/18	2.658050345
2018	Hawk	Minimum	10/31/18	2.000336397
2018	Hawk	Maximum	6/1/18	4.464545174
2019	Halls	Minimum	10/15/19	1.637005226
2019	Halls	Maximum	5/2/19	2.796479379
2019	Hawk	Minimum	10/26/19	2.024497152
2019	Hawk	Maximum	4/27/19	4.649918611
2020	Halls	Minimum	2/29/20	1.716950848
2020	Halls	Maximum	6/11/20	2.59991558
2020	Hawk	Minimum	3/9/20	1.910045531
2020	Hawk	Maximum	6/1/20	4.45426246
2021	Halls	Minimum	3/7/21	1.588779487
2021	Halls	Maximum	8/1/21	2.497962258
2021	Hawk	Minimum	2/26/21	1.918988704
2021	Hawk	Maximum	7/16/21	4.085288525
2022	Halls	Minimum	11/23/22	1.552245522
2022	Halls	Maximum	5/16/22	2.634277941
2022	Hawk	Minimum	2/15/22	1.979409352
2022	Hawk	Maximum	6/16/22	4.464750185
2023	Halls	Minimum	11/25/23	1.636912847
2023	Halls	Maximum	5/9/23	2.687991666
2023	Hawk	Minimum	11/24/23	2.059085418
2023	Hawk	Maximum	5/2/23	4.512361401
