Respondent ID	Well depth (feet)
118918609748	6
118927672352	12
118918758813	15
118914462842	15
118911478227	15
118918752327	18
118912504562	20
118921683412	30
118919617778	30
118913108588	30
118936505363	35
118913126470	40
118918505157	42
118921304214	50
118918514191	50
118912079275	65
118918718536	80
118918468501	80
118912507138	100
118913317958	102
118911515233	102
118913088814	103
118919074800	130
118913127959	180
118936625887	200
118929642939	200
118928525664	200
118913374964	220
118928104329	234
118911485842	240
118913631760	275
118913094229	280
118911562319	500
