Unique ID	Member	Lake	Time per year	Age	Top_11_enviro_issues				
H4509	Yes	Halls Lake	2 - 3 months	56 + years old	1b	1f	1h	2b	2c
H6921	Yes	Halls Lake	2 - 3 months	56 + years old	2a	2b	2c		
H4960	Yes	Halls Lake	4 - 6 months	56 + years old	2d	2a	1e	1b	1a
K6570	No	Kennisis River	2 - 3 months	56 + years old	1a	1c	1d	1f	
K2702	Yes	Kennisis River	7+ months	56 + years old	2b				
H3623	Yes	Halls Lake	2 - 3 months	56 + years old	2c	2b	1h	1f	1e
BH5489	Yes	Big Hawk Lake	4 - 6 months	56 + years old					
H1535	Yes	Halls Lake	2 - 3 months	56 + years old	1c				
LH8546	Yes	Little Hawk Lake	15 - 30 days	56 + years old	2b	2c	1a		
K4277	Yes	Kennisis River	7+ months	56 + years old	2b	2c	1f	1e	1h
H6738	Yes	Halls Lake	4 - 6 months	56 + years old	1f	2c	2d		
K3148	Yes	Kennisis River	4 - 6 months	56 + years old	1f	1a	2d		
BH7158	Yes	Big Hawk Lake	2 - 3 months	56 + years old	1f	1d	2b	2c	1e
H8839	Yes	Halls Lake	2 - 3 months	56 + years old	1e	2b	2c	1f	
H4004	No	Halls Lake	4 - 6 months	56 + years old	2d				
BH4408	Yes	Big Hawk Lake	2 - 3 months	56 + years old	2b	1d			
H1024	Yes	Halls Lake	4 - 6 months	56 + years old	2c	2d			
BH1727	Yes	Big Hawk Lake	4 - 6 months	56 + years old	2d				
BH6217	Yes	Big Hawk Lake	4 - 6 months	56 + years old	2d	1d	1a	1b	1f
LH5439	Yes	Little Hawk Lake	4 - 6 months	56 + years old	2d				
BH9164	Yes	Big Hawk Lake	2 - 3 months	56 + years old	1f				
BH4859	Yes	Big Hawk Lake	4 - 6 months	56 + years old	1f				
H4936	Yes	Halls Lake	2 - 3 months	56 + years old	1f	2b			
LH6134	Yes	Little Hawk Lake	2 - 3 months	56 + years old	1f	1g	1d		
BH6047	Yes	Big Hawk Lake	4 - 6 months	56 + years old	1f	1b	1d	1c	
LH6857	Yes	Little Hawk Lake	2 - 3 months	56 + years old	2c	2d	1e	1f	1d
LH6873	Yes	Little Hawk Lake	15 - 30 days	56 + years old	1c	1f	1b		
LH6117	No	Little Hawk Lake	0 – I spent no days at our property at this address	56 + years old	1c	2d			
H8833	No	Halls Lake	15 - 30 days	56 + years old	1a	1c	1h	2b	2c
H3681	Yes	Halls Lake	7+ months	56 + years old	1e	1g	2b	1h	
BH2406	Yes	Big Hawk Lake	4 - 6 months	56 + years old	2c				
BH5107	Yes	Big Hawk Lake	4 - 6 months	56 + years old	1b	1d	1c		
H3950	No	Halls Lake	4 - 6 months	56 + years old	1d				
BH1481	Yes	Big Hawk Lake	4 - 6 months	56 + years old	2d	1a	1b	1d	
BH2249	Yes	Big Hawk Lake	2 - 3 months	56 + years old	1a	2c	1e	2b	1d
LH6092	Yes	Little Hawk Lake	15 - 30 days	56 + years old					
H4697	Yes	Halls Lake	2 - 3 months	56 + years old	1e	2c	1f	1d	
BH2929	Yes	Big Hawk Lake	4 - 6 months	56 + years old	2a	2d	2b	1f	
BH9778	No	Big Hawk Lake	7+ months	26 - 55 years old	2d				
K5581	Yes	Kennisis River	4 - 6 months	56 + years old	2b	2d			
H4079	Yes	Halls Lake	4 - 6 months	56 + years old	1f	2a			
BH2452	Yes	Big Hawk Lake	2 - 3 months	26 - 55 years old	1f	1g	1e	2c	1a
LH8092	Yes	Little Hawk Lake	4 - 6 months	56 + years old					
LH5147	Yes	Little Hawk Lake	2 - 3 months	56 + years old	1a	1e	2c	2d	
LH5114	Yes	Little Hawk Lake	2 - 3 months	56 + years old	1b	1e	1f	1d	2b
H6107	No	Halls Lake	7+ months	56 + years old	1a	1d	1e	1f	
K2864	Yes	Kennisis River	7+ months	56 + years old	1a				
H6173	Yes	Halls Lake	2 - 3 months	56 + years old	2b	2c	1h	1b	1d
H5617	Yes	Halls Lake	4 - 6 months	56 + years old	1g	2d	1a	2c	
BH1290	Yes	Big Hawk Lake	7+ months	56 + years old	1f				
H1070	Yes	Halls Lake	2 - 3 months	56 + years old	1h	2b	2c	1f	
BH9960	Yes	Big Hawk Lake	2 - 3 months	Under 25 years old	1e	1d	1d		
H4793	No	Halls Lake	2 - 3 months	56 + years old	1b	1f	1g		
BH9558	No	Big Hawk Lake	2 - 3 months	26 - 55 years old	1a	1e			
BH8038	No	Big Hawk Lake	2 - 3 months	56 + years old	1a	1g	1f	2d	
K1392	No	Kennisis River	4 - 6 months	56 + years old	2b	2d	2b	1e	
K6793	Yes	Kennisis River	4 - 6 months	56 + years old	1b	1d	1f		
BH3004	Yes	Big Hawk Lake	7+ months	56 + years old	1f				
BH6155	Yes	Big Hawk Lake	4 - 6 months	56 + years old	1f				
H2808	Yes	Halls Lake	4 - 6 months	56 + years old	1f	2c	1d	2b	1b
H4362	Yes	Halls Lake	7+ months	56 + years old	1f	1b	1d		
H7532	Yes	Halls Lake	7+ months	56 + years old	1f	2a	2b	2c	
BH5026	Yes	Big Hawk Lake	2 - 3 months	Under 25 years old	1d	1d	1e	1f	1g
