lake	date	nitrate	alkalinity	pH	conductivity	depth_m
Little_Hawk	7/1/02	0.08	4.6	6.74	25	NA
Little_Hawk	7/1/02	0.081	3.9	6.66	23	NA
Halls	7/15/02	0.059	5.4	6.94	28	NA
Big_Hawk	7/18/02	0.064	4.9	6.81	24	NA
Halls	9/5/02	0.02	5.2	6.92	30	NA
Big_Hawk	9/11/02	0.016	4.8	6.86	26	NA
Little_Hawk	9/11/02	0.028	4.2	6.79	25	NA
Halls	9/8/03	0.074	4.8	6.9	31	NA
Little_Hawk	9/9/03	0.054	4.1	6.65	24	NA
Little_Hawk	9/9/03	0.055	3.8	6.62	24	NA
Halls	5/21/08	0.09	5.6	6.91	30	NA
Halls	9/8/08	0.015	5.3	6.96	29	NA
Big_Hawk	5/19/09	0.084	4.5	6.64	23	NA
Big_Hawk	5/19/09	0.086	4.9	6.67	24	NA
Big_Hawk	5/19/09	0.083	4.5	6.67	23	NA
Little_Hawk	5/19/09	0.099	4.4	6.56	23	NA
Little_Hawk	5/19/09	0.102	4.1	6.54	23	NA
Big_Hawk	9/10/09	0.01	5.5	6.74	23	NA
Big_Hawk	9/10/09	0.01	4.9	6.66	24	NA
Little_Hawk	9/10/09	0.013	4.4	6.65	21	NA
Big_Hawk	5/21/15	0.02	3.5	6.38	23	NA
Big_Hawk	5/21/15	0.02	3.5	6.43	22	NA
Big_Hawk	5/21/15	0.025	3.2	6.35	22	NA
Little_Hawk	5/21/15	0.037	2.3	6.17	21	NA
Little_Hawk	5/21/15	0.02	3.5	6.38	23	NA
Little_Hawk	9/11/15	0.02	2.6	6.74	21	NA
Little_Hawk	9/11/15	0.02	2.7	6.73	21	NA
Big_Hawk	9/14/15	0.02	3.5	6.79	22	NA
Big_Hawk	9/14/15	0.02	3.6	6.83	23	NA
Big_Hawk	9/14/15	0.02	3.6	6.81	22	NA
Halls	5/17/16	0.116	3.7	7	26	NA
Halls	9/13/17	0.024	4	6.78	29	NA
Big_Hawk	6/9/22	0.02	5.15	7.4	21.4	47
Halls	6/9/22	0.02	4.5	7.7	26.1	60
Little_Hawk	6/9/22	0.02	4.9	7.35	16.6	61.2
Little_Hawk	6/9/22	0.02	4.9	7.38	16.3	50
Big_Hawk	7/22/22	0.02	3.925	8.13	18.8	58
Halls	7/22/22	0.02	4.65	7.6	20.5	71
Little_Hawk	7/22/22	0.02	4.55	7.5	15.2	45
Little_Hawk	7/22/22	0.02	NA	7.6	14.9	88
Big_Hawk	3/10/23	0.02	6.55	8.84	26.2	50.3
Little_Hawk	3/10/23	0.02	8.9	8.31	23.7	NA
Little_Hawk	3/10/23	0.02	8.25	8.02	23.5	17.2
Big_Hawk	6/29/23	0.02	4.56	6.78	15.1	49.2
Little_Hawk	6/29/23	0.02	3.95	6.97	13.6	88.7
Little_Hawk	6/29/23	0.02	4.55	7	13.9	34.9
Halls	7/7/23	0.032	4.825	8.08	19.6	52.6
Halls	10/17/23	0.02	6.4	7.69	20.9	69.8
Big_Hawk	5/29/24	0.03	5.45	7.6	19.5	58.7
Little_Hawk	5/29/24	0.067	7.4	7.09	17.2	53.5
Little_Hawk	5/29/24	0.051	6	7.38	18.8	37.5
Big_Hawk	9/24/24	0.02	4.8	7.73	26.8	48.6
Little_Hawk	9/24/24	0.02	4.2	7.7	19.6	86.4
Little_Hawk	9/24/24	0.02	4.6	7.47	19.6	33.4
Halls	10/8/24	0.02	6.7	7.13	24.8	72.1
Halls	12/6/24	0.034	5.9	7.43	24.7	72
Big_Hawk	6/2/25	0.048	4.5	7.25	14.4	57.7
Halls	6/2/25	0.06	6.55	7.53	21.2	75
Little_Hawk	6/2/25	0.078	7.35	7.44	14	24
Little_Hawk	6/2/25	0.076	7.1	7.46	12.8	75
Big_Hawk	10/2/25	0.02	8.35	8.01	36.5	>50
Halls	10/2/25	0.02	5.8	7.82	41.2	>50
Little_Hawk	10/2/25	0.02	8.25	7.79	38.3	56
Little_Hawk	10/2/25	0.02	6.5	7.8	34.3	29.1
